YER177W,0
YPL006W,1
YDR536W,2
YDR463W,3
YLR307W,9
YHR080C,5
YGL167C,6
YMR238W,9
YNL154C,7
YGR078C,8
YKL164C,9
YGR152C,11
YDR218C,11
YBR187W,6
YER118C,2
YOR134W,11
YKR028W,6
YOR385W,12
YIR019C,2
YDR254W,8
YNL291C,6
YER096W,6
YDL090C,10
YDL049C,9
YLR248W,2
YLR315W,8
YLR107W,8
YBL021C,7
YGL215W,1
YOR032C,1
YHR158C,11
YDL247W-A,12
YGL094C,8
YGL209W,7
YPL174C,8
YEL031W,6
YBR133C,1
YLR308W,9
YDR451C,1
YNL233W,9
YNL053W,2
YOL067C,0
YOR339C,3
YEL040W,9
YMR273C,6
YPR122W,11
YNL192W,9
YMR299C,8
YBL029C-A,8
YMR119W,3
YDR071C,2
YOR026W,8
YBR260C,11
YMR232W,10
YOR179C,11
YMR052W,6
YLR079W,1
YKL046C,9
YOR161C,11
YBL085W,11
YEL003W,8
YMR280C,7
YOR066W,1
YJL170C,10
YPL161C,11
YMR124W,11
YCR038C,11
YGL179C,7
YOR380W,7
YLR019W,0
YDR379W,11
YMR307W,9
YBR078W,9
YKL025C,8
YGR189C,9
YLR149C-A,11
YAL017W,0
YGL121C,0
YKL159C,6
YDR422C,7
YDR461W,10
YER101C,11
YJR158W,7
YLR238W,6
YDR183W,8
YHR047C,2
YOR107W,0
YLR362W,2
YNL173C,7
YHR115C,1
YPL267W,3
YPL031C,1
YLL010C,0
YDL135C,11
YLR113W,2
YMR181C,11
YIL123W,9
YGR059W,11
YBL039C-A,11
YNL078W,11
YAL056C-A,12
YKL062W,0
YBR148W,11
YHR146W,7
YLL007C,11
YOR062C,7
YCR065W,1
YNL156C,1
YOR300W,9
YDR435C,6
YNL180C,11
YLL021W,11
YGL252C,0
YIL029C,9
YNL108C,4
YGL035C,7
YDL194W,7
YER027C,7
YML109W,6
YOL132W,9
YCR073C,2
YOR386W,9
YBR162C,9
YDL188C,6
YGL237C,7
YDR096W,0
YPL140C,2
YAL040C,1
YHR076W,2
YDR477W,7
YHR206W,2
YOR231W,2
YOR104W,9
YOR292C,4
YER149C,11
YKL038W,7
YJR004C,10
YIL131C,1
YGL208W,7
YPL177C,2
YBR276C,2
YHR096C,7
YAL016W,6
YLR104W,8
YNL327W,9
YLR353W,11
YHR061C,11
YLR390W-A,9
YCL014W,11
YPR054W,9
YPL158C,11
YML057W,6
YFR040W,6
YOR087W,6
YJR092W,11
YFR014C,6
YJL013C,8
YDR043C,2
YDR247W,2
YML124C,8
YER114C,11
YDR277C,7
YGR238C,11
YLR102C,3
YHR143W,9
YLR407W,7
YJL098W,6
YOR242C,9
YMR172W,2
YCL029C,8
YOR101W,0
YPR115W,2
YJL095W,2
YCL027W,2
YFR036W,3
YIL067C,4
YOR058C,8
YNL076W,0
YOR381W-A,12
YFL042C,5
YPL133C,7
YKL161C,2
YOL113W,2
YPL187W,10
YKR054C,8
YCL055W,10
YAL059C-A,12
YIL037C,10
YGR070W,2
YLR131C,1
YGR221C,9
YPL089C,2
YOR301W,11
YLR084C,11
YNL116W,1
YHR071W,1
YLL043W,2
YDR342C,7
YPL018W,8
YOR014W,6
YNL307C,1
YDR055W,9
YOL116W,2
YPL179W,11
YER167W,1
YIL036W,2
YBL016W,2
YMR138W,8
YGL032C,10
YFL026W,10
YFL047W,11
YOR028C,2
YGL015C,11
YCR002C,11
YKL163W,9
YGR041W,11
YDL134C,6
YNL167C,2
YDL233W,1
YJR086W,2
YDL034W,5
YDR410C,10
YKR102W,2
YGL056C,7
YBR107C,8
YDR309C,11
YBR125C,2
YMR285C,8
YGL086W,8
YMR055C,8
YDL056W,1
YLR330W,9
YHL007C,2
YNL201C,6
YGL134W,1
YNL322C,9
YLR389C,10
YCL066W,10
YMR320W,12
YMR215W,9
YDR103W,2
YKR013W,9
YOR047C,7
YLL049W,8
YDR374W-A,8
YJR117W,10
YOL112W,11
YLR381W,8
YHR209W,1
YCR040W,10
YDR099W,0
YNL098C,0
YKL092C,11
YMR311C,1
YGL216W,8
YHR142W,9
YDL240W,11
YHR092C,7
YKR042W,9
YGR014W,2
YDR522C,6
YHR133C,1
YNR031C,2
YIL050W,1
YAR050W,2
YIL153W,6
YHR155W,5
YDL179W,1
YER155C,11
YDR507C,11
YDL006W,2
YGR069W,11
YCR089W,10
YBR083W,2
YOR127W,11
YHL018W,11
YDR318W,8
YNL090W,11
YNL300W,9
YAL053W,9
YMR294W,8
YDR006C,2
YKR027W,9
YKR055W,11
YDR259C,2
YJL201W,11
YOL081W,0
YFL033C,0
YIL033C,0
YLR006C,2
YDL073W,2
YOR324C,6
YJL141C,0
YOR188W,11
YER014C-A,11
YPR141C,8
YMR016C,2
YLR452C,10
YBR040W,10
YER124C,9
YOR008C,2
YCR041W,10
YDL219W,9
YDR326C,5
YNL283C,2
YKL168C,0
YNL157W,6
YKL068W-A,9
YCL024W,11
YFR016C,11
YOR299W,9
YPL241C,8
YDL225W,11
YLR313C,11
YNL159C,3
YGR271C-A,2
YEL061C,8
YGR196C,11
YGL188C-A,9
YOR358W,7
YJL030W,8
YNL008C,3
YDR075W,6
YGL197W,6
YJL099W,9
YBR023C,9
YOR264W,9
YKL209C,10
YNL068C,1
YLR200W,8
YLR319C,11
YJL132W,0
YER075C,2
YLR096W,7
YLR280C,8
YKL048C,7
YKL096W,9
YKL079W,8
YPL269W,8
YBL061C,9
YNL279W,10
YFL011W,7
YJL158C,9
YGR230W,6
YIL140W,11
YGL115W,7
YNL145W,10
YDR371W,9
YMR199W,1
YNR044W,10
YAL024C,6
YGR097W,2
YGL028C,9
YLR433C,6
YIL113W,2
YOR208W,2
YFL052W,10
YJL159W,9
YKL177W,10
YJR090C,7
YCL048W,9
YNL234W,7
YIL015W,10
YHR205W,0
YHR152W,6
YBL056W,2
YGR040W,2
YDR200C,6
YDR122W,7
YPR119W,1
YBR239C,7
YDL248W,12
YJR066W,0
YDL159W,2
YJL187C,1
YGR143W,9
YDR260C,3
YCR097W,10
YKL178C,10
YGR044C,1
YPL253C,8
YNL257C,5
YAL063C,2
YHR184W,3
YHR149C,8
YDR345C,7
YBR225W,6
YPL163C,9
YMR030W,1
YBR028C,2
YAL056W,0
YOR371C,0
YFR046C,8
YDL035C,0
YNL148C,8
YGR188C,8
YPR159W,9
YDR150W,8
YGL089C,10
YBL046W,6
YOR212W,2
YOR220W,6
YPL219W,1
YDL138W,7
YOL070C,11
YNL027W,6
YOR265W,8
YMR011W,7
YDR488C,8
YNL127W,6
YBL103C,0
YGR092W,6
YER059W,1
YPL150W,7
YGR279C,9
YBR156C,8
YDR360W,11
YHR132W-A,6
YNL289W,1
YJL089W,7
YLR443W,6
YOL016C,6
YJL057C,0
YOL030W,9
YDL127W,1
YDR383C,8
YJL214W,7
YGR109C,1
YOL105C,2
YDR146C,1
YLR042C,9
YMR036C,1
YIR025W,3
YKL121W,5
YOR195W,6
YML050W,8
YHR102W,6
YPR075C,2
YDL047W,6
YER064C,3
YLR422W,11
YER020W,0
YKR077W,1
YNL153C,8
YLR254C,8
YER129W,7
YHR135C,7
YMR274C,10
YPL014W,1
YML027W,1
YNR067C,9
YLR343W,9
YLR332W,2
YER137C,5
YOR083W,1
YKR044W,4
YGL006W,6
YHR006W,3
YHR211W,2
YDR480W,2
YOR043W,0
YMR029C,6
YJL079C,5
YLR425W,11
YNR009W,1
YMR305C,9
YAR014C,11
YER089C,2
YJL128C,2
YLR210W,1
YGR108W,1
YOR269W,8
YIL117C,2
YER032W,11
YPL256C,1
YOR360C,0
YPR046W,8
YNL166C,11
YOR073W,8
YER007W,8
YDR523C,6
YGR023W,2
YDL245C,7
YGL229C,6
YFR008W,6
YDL230W,2
YGL240W,3
YKL109W,7
YMR316W,12
YGL214W,11
YBL063W,8
YGR161C,6
YGR276C,8
YGR217W,6
YDR216W,7
YLR040C,10
YPL152W,6
YGR273C,8
YMR037C,0
YDR162C,2
YNL066W,9
YNR032W,6
YEL033W,11
YOR344C,1
YMR237W,9
YJL179W,8
YPL155C,8
YGR225W,3
YBR238C,11
YNL115C,4
YKL043W,2
YKR091W,1
YLR286C,9
YBR182C,2
YLR444C,6
YML094W,8
YBR214W,7
YOR349W,8
YKL190W,6
YDR106W,8
YNL199C,1
YNL130C-A,5
YDR343C,7
YDL128W,6
YCL032W,2
YDR077W,9
YPL049C,2
YGL190C,6
YJR053W,8
YIL152W,8
YPL221W,9
YHR094C,7
YDR195W,11
YGR229C,9
YKL077W,4
YHR030C,2
YGL248W,0
YNL298W,11
YNL293W,11
YBR066C,2
YKL096W-A,9
